,host_city,noc
2034 Winter Olympics,Salt Lake City,USA
2032 Summer Olympics,Brisbane,AUS
2030 Winter Olympics,French Alps,FRA
2028 Summer Olympics,Los Angeles,USA
2026 Winter Olympics,Milano-Cortina d'Ampezzo,ITA
2024 Summer Olympics,Paris,FRA
2022 Winter Olympics,Beijing,CHN
2020 Summer Olympics,Tokyo,JPN
2020 Winter Youth Olympics,Lausanne,SUI
2018 Summer Youth Olympics,Buenos Aires,ARG
2018 Winter Olympics,PyeongChang,KOR
2016 Summer Olympics,Rio de Janeiro,BRA
2016 Winter Youth Olympics,Lillehammer,NOR
2014 Winter Olympics,Sochi,RUS
2014 Summer Youth Olympics,Nanjing,CHN
2012 Summer Olympics,London,GBR
2012 Winter Youth Olympics,Innsbruck,AUT
2010 Winter Olympics,Vancouver,CAN
2010 Summer Youth Olympics,Singapura,SGP
2008 Summer Olympics,Beijing,CHN
2006 Winter Olympics,Torino,ITA
2004 Summer Olympics,Athina,GRE
2002 Winter Olympics,Salt Lake City,USA
2000 Summer Olympics,Sydney,AUS
1998 Winter Olympics,Nagano,JPN
1996 Summer Olympics,Atlanta,USA
1994 Winter Olympics,Lillehammer,NOR
1992 Summer Olympics,Barcelona,ESP
1992 Winter Olympics,Albertville,FRA
1988 Summer Olympics,Seoul,KOR
1988 Winter Olympics,Calgary,CAN
1984 Summer Olympics,Los Angeles,USA
1984 Winter Olympics,Sarajevo,YUG
1980 Winter Olympics,Lake Placid,USA
1980 Summer Olympics,Moskva,URS
1976 Summer Olympics,Montréal,CAN
1976 Winter Olympics,Innsbruck,AUT
1972 Summer Olympics,München,FRG
1972 Winter Olympics,Sapporo,JPN
1968 Summer Olympics,Ciudad de México,MEX
1968 Winter Olympics,Grenoble,FRA
1964 Summer Olympics,Tokyo,JPN
1964 Winter Olympics,Innsbruck,AUT
1960 Summer Olympics,Roma,ITA
1960 Winter Olympics,Squaw Valley,USA
1956 Equestrian Olympics,Stockholm,SWE
1956 Summer Olympics,Melbourne,AUS
1956 Winter Olympics,Cortina d'Ampezzo,ITA
1952 Summer Olympics,Helsinki,FIN
1952 Winter Olympics,Oslo,NOR
1948 Summer Olympics,London,GBR
1948 Winter Olympics,Sankt Moritz,SUI
1936 Summer Olympics,Berlin,GER
1936 Winter Olympics,Garmisch-Partenkirchen,GER
1932 Summer Olympics,Los Angeles,USA
1932 Winter Olympics,Lake Placid,USA
1928 Summer Olympics,Amsterdam,NED
1928 Winter Olympics,Sankt Moritz,SUI
1924 Summer Olympics,Paris,FRA
1924 Winter Olympics,Chamonix,FRA
1920 Summer Olympics,Antwerpen,BEL
1912 Summer Olympics,Stockholm,SWE
1908 Summer Olympics,London,GBR
1906  Intercalated Games,Athina,GRE
1904 Summer Olympics,St. Louis,USA
1900 Summer Olympics,Paris,FRA
1896 Summer Olympics,Athina,GRE
1888-89 Zappas Olympic Games,Athina,GRE
